               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.028011,            0.016565,           0.0015275,             0.84811,             0.77956,             0.81718,             0.58092,            0.031345,           0.0097948,           0.0023245,            0.005248,            0.005248,            0.005248
                  50,            0.028471,              0.0167,           0.0014767,             0.86325,             0.75429,             0.81338,             0.57459,            0.031578,           0.0098799,           0.0025111,            0.005149,            0.005149,            0.005149
                  51,             0.02787,            0.016513,            0.001423,             0.84282,             0.76809,             0.81247,             0.57298,            0.031219,           0.0099362,           0.0024326,             0.00505,             0.00505,             0.00505
                  52,            0.028144,            0.016856,            0.001403,             0.85156,             0.76552,             0.81367,             0.57649,            0.031289,           0.0097729,           0.0023666,            0.004951,            0.004951,            0.004951
                  53,            0.027287,            0.016199,           0.0013743,              0.8502,               0.765,             0.81181,             0.57562,            0.031703,           0.0098658,           0.0025671,            0.004852,            0.004852,            0.004852
                  54,            0.027839,            0.016361,           0.0013786,             0.85865,             0.75661,             0.81233,             0.57634,            0.031377,           0.0098386,           0.0024477,            0.004753,            0.004753,            0.004753
                  55,            0.027474,            0.016052,            0.001235,             0.86284,             0.76201,             0.81094,             0.57885,            0.031255,           0.0098325,           0.0024496,            0.004654,            0.004654,            0.004654
                  56,            0.027142,            0.016232,           0.0012087,             0.86624,             0.75856,             0.81245,             0.57824,            0.031525,           0.0098243,           0.0023401,            0.004555,            0.004555,            0.004555
                  57,            0.027155,            0.016259,           0.0012897,             0.86506,              0.7588,             0.81174,             0.58238,            0.030901,           0.0098164,            0.002591,            0.004456,            0.004456,            0.004456
                  58,            0.026601,            0.015901,           0.0012465,             0.86553,             0.75189,             0.81205,              0.5794,            0.031384,           0.0099436,           0.0025693,            0.004357,            0.004357,            0.004357
                  59,            0.026636,            0.015719,           0.0011615,             0.85297,             0.76848,             0.81297,             0.57794,            0.031117,           0.0099233,           0.0025095,            0.004258,            0.004258,            0.004258
                  60,            0.026175,            0.015607,           0.0010532,             0.87169,             0.76478,             0.81534,             0.58925,            0.030838,           0.0098013,           0.0025756,            0.004159,            0.004159,            0.004159
                  61,            0.026405,            0.015935,           0.0012679,             0.86953,             0.76377,             0.81391,             0.58681,            0.030939,           0.0098808,           0.0025061,             0.00406,             0.00406,             0.00406
                  62,            0.026713,            0.016162,           0.0011681,             0.86807,             0.76212,             0.81526,             0.58396,            0.030886,           0.0097933,           0.0025212,            0.003961,            0.003961,            0.003961
                  63,             0.02585,            0.015342,           0.0010635,             0.85251,             0.77631,             0.81808,             0.58858,            0.030846,           0.0098257,            0.002505,            0.003862,            0.003862,            0.003862
                  64,            0.025873,            0.015445,           0.0011149,              0.8677,             0.76698,             0.81144,             0.58648,            0.030922,           0.0099384,            0.002559,            0.003763,            0.003763,            0.003763
                  65,            0.025713,            0.015575,           0.0011293,             0.87513,             0.76118,             0.81372,             0.59056,            0.031085,           0.0098413,           0.0025417,            0.003664,            0.003664,            0.003664
                  66,            0.025319,            0.015108,            0.001025,             0.86845,             0.77326,             0.81816,             0.59557,             0.03087,           0.0097562,           0.0025291,            0.003565,            0.003565,            0.003565
                  67,            0.025967,            0.015146,           0.0010282,             0.86772,             0.76883,             0.81688,             0.59472,            0.030545,           0.0097376,           0.0024576,            0.003466,            0.003466,            0.003466
